id,name,class,year,arabic,english,math,science,geo,history,computer,writing,islamic,note
2025233,احمد رمضان الكزة,الأول إعدادي,2024 / 2025,85,39,102,35,62,56,44,41,88,لا يوجد
2025234,سلمى محمد التومي,الثالث إعدادي,2024 / 2025,51,51,174,56,74,55,38,44,92,لا يوجد
2025235,سالم جمال أبوحجر,الثالث إعدادي,2024 / 2025,47,49,82,91,69,53,45,29,35,لا يوجد
2025236,محمد رمضان الدوادي,الثالث إعدادي,2024 / 2025,55,44,146,57,57,46,27,29,52,لا يوجد
2025237,أمل إدريس الفاخري,الثالث إعدادي,2024 / 2025,46,46,110,40,45,61,26,37,38,لا يوجد
2025238,كريمة عطية المسلمي,الأول إعدادي,2024 / 2025,62,78,199,59,51,62,45,25,76,لا يوجد
2025239,عيسى المختار الغزولي,الأول إعدادي,2024 / 2025,53,58,182,82,60,76,40,20,78,لا يوجد
2025240,خديجة عبدالسلام شقلوف,الثالث إعدادي,2024 / 2025,37,48,163,42,74,80,32,27,92,لا يوجد
2025241,ياسين نوري بشير,الثالث إعدادي,2024 / 2025,93,61,121,60,44,46,27,40,45,لا يوجد
2025242,عمر خليفة المشرقي,الثالث إعدادي,2024 / 2025,83,44,167,90,55,46,24,34,48,لا يوجد
2025243,بدر جابر النفاثي,الثاني إعدادي,2024 / 2025,68,57,199,35,31,59,28,39,47,لا يوجد
2025244,ماجد عطية المسلمي,الثالث إعدادي,2024 / 2025,67,44,173,57,33,50,36,17,39,لا يوجد
2025245,أيمن فرج المجري,الثاني إعدادي,2024 / 2025,49,60,175,70,46,71,39,26,36,لا يوجد
2025246,هاني نوري الفرد,الثالث إعدادي,2024 / 2025,56,44,156,70,63,59,33,44,64,لا يوجد
2025247,غسان نوري بشير,الأول إعدادي,2024 / 2025,69,74,128,84,30,59,30,35,46,لا يوجد
2025248,آمنة رمضان الدوادي,الثاني إعدادي,2024 / 2025,84,70,117,59,40,55,46,37,61,لا يوجد
2025249,محمد علي بودهيم,الثالث إعدادي,2024 / 2025,82,29,113,64,52,54,19,32,49,لا يوجد
2025250,ياسين علي بودهيم,الثاني إعدادي,2024 / 2025,56,75,104,61,52,43,35,46,68,لا يوجد
2025251,مصطفى صابر العباني,الثالث إعدادي,2024 / 2025,48,34,149,95,72,66,41,34,88,لا يوجد
2025252,تامر محمد التومي,الأول إعدادي,2024 / 2025,50,78,85,78,46,42,24,23,83,لا يوجد
2025253,هاني محمد التومي,الثاني إعدادي,2024 / 2025,50,54,94,42,51,32,24,35,49,لا يوجد
2025254,عائشة ونيس التومي,الأول إعدادي,2024 / 2025,89,33,155,66,71,52,36,39,88,لا يوجد
2025255,فاطمة المهدي أرحومة,الثاني إعدادي,2024 / 2025,45,73,146,50,79,58,19,28,39,لا يوجد
2025256,فاطمة عبدالمجيد التركي,الثاني إعدادي,2024 / 2025,67,61,82,83,50,52,41,42,78,لا يوجد
2025257,فادي عطية المسلمي,الأول إعدادي,2024 / 2025,73,65,121,54,43,45,32,17,53,لا يوجد
2025258,جمال صالح الحضيري,الثاني إعدادي,2024 / 2025,65,79,148,76,47,75,24,36,58,لا يوجد
2025259,سلمى عمر العلواني,الأول إعدادي,2024 / 2025,57,71,105,59,54,48,42,29,36,لا يوجد
2025260,إيمان إسماعيل القزيري,الأول إعدادي,2024 / 2025,45,68,77,81,69,66,17,44,77,لا يوجد
2025261,عائشة نوري الفرد,الأول إعدادي,2024 / 2025,60,70,141,46,73,44,39,23,94,لا يوجد
2025262,ملاك خالد الفيتوري,الأول إعدادي,2024 / 2025,65,77,183,68,56,36,27,27,65,لا يوجد
2025263,زياد موسى المجبري,الثاني إعدادي,2024 / 2025,87,63,109,41,53,73,34,42,68,لا يوجد
2025264,آمنة صالح الحضيري,الأول إعدادي,2024 / 2025,87,73,133,54,57,79,42,35,78,لا يوجد
2025265,حامد رمضان العوامي,الأول إعدادي,2024 / 2025,96,34,197,42,35,56,35,43,94,لا يوجد
2025266,خالد فرج المجري,الأول إعدادي,2024 / 2025,34,59,165,40,77,41,34,19,96,لا يوجد
2025267,نادر فتح الله بن خليفة,الثالث إعدادي,2024 / 2025,76,80,171,67,70,41,42,22,62,لا يوجد
2025268,سارة صالح القطعاني,الثاني إعدادي,2024 / 2025,89,49,157,34,72,35,18,42,66,لا يوجد
2025269,هشام الطاهر المبروك,الثالث إعدادي,2024 / 2025,74,51,88,42,33,34,30,26,63,لا يوجد
2025270,حسين رمضان الدوادي,الأول إعدادي,2024 / 2025,34,65,105,45,66,70,31,28,47,لا يوجد
2025271,حمزة عبدالرحمن العرفي,الثاني إعدادي,2024 / 2025,49,73,178,90,37,47,38,43,52,لا يوجد
2025272,عبدالله جابر النفاثي,الثاني إعدادي,2024 / 2025,34,44,86,34,76,59,47,33,49,لا يوجد
2025273,سلمى عبدالقادر الهواري,الأول إعدادي,2024 / 2025,69,55,134,88,54,33,44,36,90,لا يوجد
2025274,حمزة عمر السعيطي,الأول إعدادي,2024 / 2025,64,78,168,92,33,77,22,30,76,لا يوجد
2025275,خالد سليمان الشريف,الثاني إعدادي,2024 / 2025,80,54,118,87,70,35,27,30,70,لا يوجد
2025276,رنا نصر الداقل,الثاني إعدادي,2024 / 2025,60,74,161,58,54,72,18,26,36,لا يوجد
2025277,مصطفى الطاهر المبروك,الثاني إعدادي,2024 / 2025,43,35,182,35,50,75,33,42,53,لا يوجد
2025278,خديجة بلعيد الساحلي,الثالث إعدادي,2024 / 2025,44,41,108,54,60,44,27,36,63,لا يوجد
2025279,غسان علي بودهيم,الثالث إعدادي,2024 / 2025,82,31,84,81,29,80,30,34,50,لا يوجد
2025280,غسان عبدالمجيد التركي,الثاني إعدادي,2024 / 2025,52,43,71,77,79,63,20,48,57,لا يوجد
2025281,وليد الطاهر المبروك,الأول إعدادي,2024 / 2025,68,65,158,79,73,61,20,29,43,لا يوجد
2025282,علي ونيس التومي,الثاني إعدادي,2024 / 2025,83,68,171,53,29,79,34,29,68,لا يوجد
2025283,سلمى خليفة المشرقي,الثاني إعدادي,2024 / 2025,73,70,157,35,49,73,43,45,46,لا يوجد
2025284,سلمى السنوسي أبوسن,الثالث إعدادي,2024 / 2025,77,61,157,54,55,39,18,38,90,لا يوجد
2025285,نور عبدالسلام العكاري,الثالث إعدادي,2024 / 2025,93,49,117,86,64,76,38,28,59,لا يوجد
2025286,نور علي بودهيم,الأول إعدادي,2024 / 2025,78,33,155,58,55,76,35,31,96,لا يوجد
2025287,إيمان جمعة العاتي,الثالث إعدادي,2024 / 2025,79,40,86,85,42,62,41,30,91,لا يوجد
2025288,نادر حسن بوزيد,الأول إعدادي,2024 / 2025,65,28,95,51,62,79,26,32,73,لا يوجد
2025289,هدى الهادى العيفة,الثاني إعدادي,2024 / 2025,42,80,153,61,70,59,21,31,41,لا يوجد
2025290,عائشة صابر العباني,الثالث إعدادي,2024 / 2025,38,68,128,71,48,72,17,37,90,لا يوجد
2025291,أدم محمد المبروك,الأول إعدادي,2024 / 2025,84,29,77,83,42,47,36,40,50,لا يوجد
2025292,أمير بلعيد الساحلي,الثالث إعدادي,2024 / 2025,82,53,80,65,74,30,45,40,65,لا يوجد
2025293,قاسم عبدالسلام العكاري,الثاني إعدادي,2024 / 2025,36,29,196,83,48,76,41,37,50,لا يوجد
2025294,كريمة زكريا الحويج,الثالث إعدادي,2024 / 2025,68,46,93,82,72,31,35,31,49,لا يوجد
2025295,جمال عطية المسلمي,الثالث إعدادي,2024 / 2025,81,55,172,87,61,80,42,17,42,لا يوجد
2025296,مالك خليفة الجطلاوي,الأول إعدادي,2024 / 2025,58,72,114,55,74,74,33,30,88,لا يوجد
2025297,رقية صالح الحضيري,الثاني إعدادي,2024 / 2025,87,34,187,60,39,51,25,28,47,لا يوجد
2025298,علي محمد التومي,الثالث إعدادي,2024 / 2025,41,75,200,51,57,60,37,17,71,لا يوجد
2025299,ناصر نوري بشير,الأول إعدادي,2024 / 2025,79,40,144,57,36,48,17,31,69,لا يوجد
